"","id","IdBundesland","Bundesland","Landkreis","Altersgruppe","Geschlecht","AnzahlFall","AnzahlTodesfall","ObjectId","Meldedatum","IdLandkreis","Datenstand","NeuerFall","NeuerTodesfall"
"1",353724,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,353724,2020-03-14 01:00:00,"01001","26.03.2020 00:00",0,-9
"2",353725,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",2,0,353725,2020-03-19 01:00:00,"01001","26.03.2020 00:00",0,-9
"3",353726,1,"Schleswig-Holstein","SK Flensburg","A15-A34","M",1,0,353726,2020-03-21 01:00:00,"01001","26.03.2020 00:00",0,-9
"4",353727,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",1,0,353727,2020-03-14 01:00:00,"01001","26.03.2020 00:00",0,-9
"5",353728,1,"Schleswig-Holstein","SK Flensburg","A15-A34","W",2,0,353728,2020-03-18 01:00:00,"01001","26.03.2020 00:00",0,-9
"6",353729,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,353729,2020-03-14 01:00:00,"01001","26.03.2020 00:00",0,-9
"7",353730,1,"Schleswig-Holstein","SK Flensburg","A35-A59","M",1,0,353730,2020-03-20 01:00:00,"01001","26.03.2020 00:00",0,-9
"8",353731,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,353731,2020-03-14 01:00:00,"01001","26.03.2020 00:00",0,-9
"9",353732,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",2,0,353732,2020-03-19 01:00:00,"01001","26.03.2020 00:00",0,-9
"10",353733,1,"Schleswig-Holstein","SK Flensburg","A35-A59","W",1,0,353733,2020-03-20 01:00:00,"01001","26.03.2020 00:00",0,-9
"11",353734,1,"Schleswig-Holstein","SK Flensburg","A60-A79","M",1,0,353734,2020-03-24 01:00:00,"01001","26.03.2020 00:00",0,-9
"12",353735,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353735,2020-03-10 01:00:00,"01002","26.03.2020 00:00",0,-9
"13",353736,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,353736,2020-03-11 01:00:00,"01002","26.03.2020 00:00",0,-9
"14",353737,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353737,2020-03-13 01:00:00,"01002","26.03.2020 00:00",0,-9
"15",353738,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353738,2020-03-14 01:00:00,"01002","26.03.2020 00:00",0,-9
"16",353739,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353739,2020-03-16 01:00:00,"01002","26.03.2020 00:00",0,-9
"17",353740,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353740,2020-03-18 01:00:00,"01002","26.03.2020 00:00",0,-9
"18",353741,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353741,2020-03-20 01:00:00,"01002","26.03.2020 00:00",0,-9
"19",353742,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",1,0,353742,2020-03-21 01:00:00,"01002","26.03.2020 00:00",0,-9
"20",353743,1,"Schleswig-Holstein","SK Kiel","A15-A34","M",2,0,353743,2020-03-23 01:00:00,"01002","26.03.2020 00:00",0,-9
"21",353744,1,"Schleswig-Holstein","SK Kiel","A15-A34","W",1,0,353744,2020-03-10 01:00:00,"01002","26.03.2020 00:00",0,-9
